"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1961-10-01",,"79","45"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1961-10-02",,"77","48"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1961-10-03",,"66","50"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1961-10-04",,"71","47"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1961-10-05",,"72","47"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1961-10-06",,"76","45"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1961-10-07",,"78","48"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1961-10-08",,"79","50"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1961-10-09",,"78","52"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1961-10-10",,"79","49"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1961-10-11",,"74","47"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1961-10-12",,"69","44"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1961-10-13",,"66","42"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1961-10-14",,"62","46"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1961-10-15",,"53","44"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1961-10-16",,"75","39"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1961-10-17",,"75","44"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1961-10-18",,"78","45"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1961-10-19",,"74","40"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1961-10-20",,"77","37"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1961-10-21",,"77","42"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1961-10-22",,"80","45"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1961-10-23",,"84","46"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1961-10-24",,"82","41"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1961-10-25",,"78","41"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1961-10-26",,"69","46"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1961-10-27",,"75","43"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1961-10-28",,"77","42"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1961-10-29",,"78","42"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1961-10-30",,"78","44"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1961-10-31",,"77","42"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1961-11-01",,"72","47"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1961-11-02",,"76","47"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1961-11-03",,"75","51"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1961-11-04",,"71","48"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1961-11-05",,"69","51"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1961-11-06",,"62","52"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1961-11-07",,"59","48"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1961-11-08",,"60","49"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1961-11-09",,"74","48"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1961-11-10",,"76","43"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1961-11-11",,"71","46"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1961-11-12",,"63","51"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1961-11-13",,"70","52"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1961-11-14",,"75","50"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1961-11-15",,"76","50"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1961-11-16",,"74","50"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1961-11-17",,"75","46"
